Code,Tweet
Neither,https://t.co/Bq96IJhhhH
Neither,ABC Has Canceled 'Roseanne' After Her Racist Tweet About Valerie  Jarrett https://t.co/aFsha0NEaS https://t.co/Lr4s1zDg9Q
Neither,@TrumpSuckMyD @CNN @Roseanne @IvankaTrump @therealroseanne I only called for @CNN AFTER @Roseanne tweet they sent. Please keep up!
Pro-Roseanne,@Reversequestion @therealroseanne Boycott ABC
Anti-Roseanne,RoseanneTheRacist
Anti-Roseanne,Roseanne got cancelled! Yessss!! https://t.co/0WNrJsiyHt
Neither,@MaurizioTweets @politico @therealroseanne @ABC @StephenAtHome @nbcsnl It's not free. ABC pays for it.
Neither,Roseanne
Pro-Roseanne,Only reason @ABC fired cancelled Roseanne is because she is pro Trump
Neither,ByeFelicia
Neither,Roseanne
Neither,@kirkpatrickcp @ShellyAMoss2 @therealroseanne Are you hurt?
Neither,@No_TreadChris @HumanRainDelay1 @soonerrick @DeannaSader @DarbaDee @Lani6400 @therealroseanne Again
Neither,@SherryLynSmith1 @FOXTV @UnderdogKitties @NicoleNesbitt10 @michelle11502 @lorispall @Mamapaws6 @therealroseanne... https://t.co/J2x1lBc4Bu
Neither,@Sadiesayit @icrewhelos @therealroseanne Prominent? Dream on.
Anti-Roseanne,@therealroseanne Have looked in the mirror. You are an horrible person
Neither,Roseanne
Neither,@grantevanhf @TheTweetOfGod @realDonaldTrump @therealroseanne Too close for comfort
Anti-Roseanne,@Dawn3loves @therealroseanne ABC HAS THE RIGHT TO FIRE HER FOR HER RACIST OPINION...
Anti-Roseanne,Thank you @ABCNetwork!         ABC Cancels 'Roseanne' Reboot After Barr's Tweet About Obama Aide https://t.co/KFIV3kYwHF
Anti-Roseanne,Lol Roseanne got cancelled because Roseanne was out here being racist again?  I am not even remotely surprised.
Anti-Roseanne,@ShellyAMoss2 @therealroseanne Fuck you and your racist bullshit!
Anti-Roseanne,@Amy_Siskind I'd be happy to never hear of Trump's name or Roseanne ever again!  Truly - the duo of deplorables.
Neither,Roseanne' canceled after star's racist  tweets https://t.co/rOcgxz2Q6b
Anti-Roseanne,@therealroseanne U ruined it for ur costars because of your racist remarks. U are horrible
Pro-Roseanne,@TrumpStudents @StopURLying @JoyAnnReid @therealroseanne Double standard.....
Pro-Roseanne,@Pink_About_it I stand with Roseanne..!!!
Neither,QAnon
Neither,Roseanne' Head Writer Wanda Sykes Leaving After Star's 'Ape' Comment  https://t.co/eFlVSW8pHM
Neither,@FoxNews @therealroseanne @THEsaragilbert @realDonaldTrump @RobertIger @Disney @CNBC @espn We will never watch... https://t.co/DkGVfoBvPN
Neither,@AriDavidUSA @ChelseaClinton @therealroseanne ABC cancels Roseanne after she compares black Obama advisor Valerie Jarrett to an ape
Neither,Roseanne
Neither,@therealroseanne https://t.co/znNGt9Iav2
Neither,Roseanne
Neither,Roseanne
Anti-Roseanne,@romyreiner @therealroseanne Good riddance to bad garbage
Anti-Roseanne,LOL. Way to screw the pooch
Neither,Roseanne Barr Apologizes For Racist 'Planet of the Apes' Tweet About Obama Adviser - Billboard... https://t.co/z1VKqtI0Fk
Anti-Roseanne,@therealroseanne You're the exact reason why baby boomers shouldn't have social media. Some one come put Roseanne b... https://t.co/W5sL6QOI34
Neither,@conserve_p @johncanzanobft @therealroseanne Lol
Anti-Roseanne,@therealroseanne Stick your apologie up yer..
Neither,@KurtSchlichter @therealroseanne Didn't he?
Neither,Now Roseanne Barr and Colin Kaepernick will have time to get together to discuss the ins and outs of free speech.   Katy Tur
Pro-Roseanne,@therealroseanne Don't apologise
Neither,@therealroseanne  https://t.co/6ZJJ0fyB8Q
Anti-Roseanne,@Meadus73 @therealroseanne Haha. That didn't take long. America just needs one more trash-TV star to fuck off now.
Anti-Roseanne,@therealroseanne You're an idiot gtfo you knew exactly what you were saying
Neither,I can remember being surprised to find out that gay people could not marry
Neither,Roseanne
Neither,@thirdgenwidget @ABC @espn And their speed! Jemele Hill got a vacation and was allowed back no problem- Roseanne's... https://t.co/zxhfmo4taL
Anti-Roseanne,HOW WONDERFUL!!!!  ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/HeuUnitars via @CNNMoney
Neither,@TC_resistance @therealroseanne She doesn't :)
Anti-Roseanne,@therealroseanne   Great job Roseanne.  You lost jobs for how many people?  Are you going to cover the paychecks th... https://t.co/aRC82XGEqE
Neither,@therealroseanne I thought her dad was Webb Hubbell?
Anti-Roseanne,@RobertIger Thank you Mr. Iger for doing the right thing though this reboot shouldn't never happened in the first p... https://t.co/d0SKajNlf8
Neither,Mega Man 11 Jesse Davis Bobby McCain Bethesda Fallout Roseanne   https://t.co/iffNrqHNfj
Pro-Roseanne,@therealroseanne Don't leave Twitter. We all make mistakes. The left is unforgiving but the rest of us are understa... https://t.co/VygDXtvbrs
Anti-Roseanne,@therealroseanne What the fuck happened to you???? Jesus Christ.
Neither,Roseanne
Neither,@soonerrick @BethB1213 @therealroseanne @ABCNetwork Hahahahahahaha
Pro-Roseanne,@TwitterMoments One more reason to cancel network tv. I was considering it until Roseanne came back!
Neither,bomb
Pro-Roseanne,@KayaJones @JohnGoodno @therealroseanne Another Network would be a fool not to pick up that show
Anti-Roseanne,@therealroseanne Your racism is showing. Might want to tuck that back in...
Neither,Wanda Sykes Quits 'Roseanne' https://t.co/8hGW5uaEt3
Anti-Roseanne,@therealroseanne Your 'joke' was cruel and as ignorant as they come. Not to mention unoriginal. If you're going to... https://t.co/pG7V6BI5hT
Neither,whitehouse
Anti-Roseanne,Hawaii just told Roseanne not to come back because they've already got something spewing poisonous hot air all over the place.
Pro-Roseanne,@therealroseanne Sue. You had a contract and it is your show and fame that gave Sara a life.
Pro-Roseanne,Sorry it's okay for Liberals to talk trash but not Conservatives.  https://t.co/4gReJn8k9F
Pro-Roseanne,@BreitbartNews These people are just too damn sensitive! Roseanne is just being funny
Anti-Roseanne,@therealroseanne  It wasn't a joke and everyone knows it.
Anti-Roseanne,@THEsaragilbert Don't be sad
Neither,@mattyglesias Solo being a massive bomb is greater cause of Disney being down; more than the Roseanne effect.
Anti-Roseanne,@therealroseanne see ya later racist.
Anti-Roseanne,@therealroseanne Why the hell did u come back? No one missed u. You are old
Neither,@DragonflyOnPond @therealroseanne I know they canceled it
Pro-Roseanne,Canceling ROSEANNE for what she said...What about Kimmel
Neither,ABC
Neither,@jtstorm62 @therealroseanne They did! https://t.co/Qs9sqnpz6R
Neither,Roseanne
Neither,ABC cancels 'Roseanne' after Barr's racist tweet https://t.co/HIBuDcDrfw
Neither,ABC cancels 'Roseanne' after TV star tweets racial slur - https://t.co/UyLfKxg0SR @techjollof
Neither,Roseanne https://t.co/WgHIAwiBUM
Pro-Roseanne,@ABCNetwork sad about Roseanne. She's being condemned for what she said.  But others on the failing View
Pro-Roseanne,@therealroseanne NOooooo DONT GO - SCREW THEM U TALK ABOUT REAL SHIT - FIGHT BACK!!
Anti-Roseanne,new daily affirmation is 'I am more intelligent than Roseanne barr'
Neither,ROSEANNE
Neither,Roseanne reboot canceled after racist Twitter tirade / LGBTQ  Nation https://t.co/3m4hv5ZsEU https://t.co/aP0UuYbKn2
Neither,SOLO
Neither,ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/ExQWOrDFBe via @CNNMoney
Neither,@samknight_one roseanne boleyn
Anti-Roseanne,RoseanneBarred
Neither,NBC News: ABC cancels 'Roseanne' after show's star compared Obama adviser to 'ape' https://t.co/qmmALDL0Ix
Neither,Roseanne reboot cancelled but Will and Grace has been renewed for season 10 and 11 GAYS WON!
Neither,@therealroseanne      https://t.co/crnxpDk4rw
Neither,@therealroseanne  https://t.co/ASqMx6uXxQ
Neither,@JackPosobiec HAHA! You called Stephen Baldwin Roseanne
Neither,@JackisBack @PeterSweden7 @therealroseanne Want to give me some evidence?
Anti-Roseanne,I applaud @ABCNetwork for canceling @RoseanneOnABC despite the show becoming a big hit. There is no place for... https://t.co/MM2rQN8Nan
Pro-Roseanne,@therealroseanne Hang in there
Neither,ABC drops Roseanne show after racist  tweet https://t.co/Sbi1hAq0jN https://t.co/RxgifMkUue
Neither,@therealroseanne Try GAB
Neither,@GailSimone I work in health care and see many patients and family members with mental illness. It can be insidious... https://t.co/zfaxYdxXUE
Pro-Roseanne,@trish_regan @ABCNetwork allows @TheView to say anything without apologising? Roseanne apologized. Hypocrites!... https://t.co/bTRt56dfGX
Pro-Roseanne,@therealroseanne To hell with all the Clintons and POS Jarret!
Anti-Roseanne,LOLLLLLLL Roseanne is the clown of the week undisputed. She was raking in stacks with her show's reboot and all she... https://t.co/5AsUabU5n6
Pro-Roseanne,I would love to just give @therealroseanne a hug right now. People need to realize that comedy can be offensive and... https://t.co/gMYhWjDyLw
Anti-Roseanne,"@therealroseanne Your ""joke"" wasn't ""in bad taste"""
Neither,Roseanne
Anti-Roseanne,Roseanne   ABC restored my faith in the better nature of adults in America. For a moment I felt better. Then I shud... https://t.co/rXSAFYd1PN
Anti-Roseanne,loose lips sink ships Roseanne!
Neither,Twitter
Neither,Roseanne
Anti-Roseanne,@therealroseanne How's being a tRUMP supporter working out for ya'?      Goodbye &amp; good riddance!
Neither,@billprady @ValerieHarper Although if Roseanne is replaced by Sandy Duncan
Neither,Roseanne is CANCELLED by ABC after Roseanne Barr compares ex-Obama aide to an ape in shocking  tweet https://t.co/rk6H8lUd45
Neither,Roseanne' Canceled by ABC after Racist Tweet  https://t.co/xw0aDWMMaI via @TMZ
Neither,@Salon @Roseanne @therealroseanne
Neither,Roseanne
Neither,@OnlyInSmallvill @therealroseanne @DuckDynastyAE Oh myyyy.....you do know God hates NO ONE
Pro-Roseanne,@therealroseanne Don't apologize to that traitor PICK THE SHOW UP FOX!
Neither,"@CoCoDeLiGhT_ @alsdowntown @KayaJones @therealroseanne Do you not understand how trade works? It was a ""slave trade... https://t.co/AqDyYEBbIr"
Neither,Roseanne
Neither,The Latest: ABC cancels 'Roseanne' after star's racist tweet https://t.co/ad66Bvm3rx
Anti-Roseanne,Bye
Anti-Roseanne,The look the rest of the cast of 'Roseanne' is giving to @therealroseanne right now because she fucked up their pay... https://t.co/aGkzTdfwhC
Anti-Roseanne,Serves her right...  ABC drops Roseanne show after racist tweet - https://t.co/fFCwye7CZB
Neither,Roseanne
Neither,Hey @brianstelter
Neither,ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/bEuoz8QDmr
Anti-Roseanne,@therealroseanne easy come easy go.    \u200d
Neither,@therealroseanne Never!
Neither,NoGo
Neither,@Dancingdaria @misstinafey @nicwil75 @DaddyFems @JakeSherman @therealroseanne Make sure you clean the pole before your next shift.
Neither,Live: ABC cancels 'Roseanne' after racist  tweet https://t.co/rlZRWnGHOc https://t.co/E687QXggtu
Anti-Roseanne,@APEntertainment @AP_Politics Bye Roseanne.  You had it coming.
Pro-Roseanne,@ABCNetwork Don't cancel Roseanne! I loved the show as a child and still do at 28 years old. I was beyond excited a... https://t.co/57ZlPYNnvu
Anti-Roseanne,@themaxburns @raehanbobby @therealroseanne I guess @theealroseanne should have thought before tweeting ugliness all on her!
Neither,.@therealroseanne    https://t.co/EwA9hnxZmk
Anti-Roseanne,@charliekirk11 @realJeffreyLord Maybe Roseanne should have kept her mouth shut. Not too hard is it?
Anti-Roseanne,@therealroseanne Thank goodness
Neither,@CaughtYa164 @AmandaNHardwic1 @therealroseanne Thank You!!! @CaughtYa164      She claims others are Racist yet that is... https://t.co/qG8vToUoyD
Neither,@therealroseanne ...
Neither,Felicia &gt; Roseanne
Neither,@soonerrick @swivman @therealroseanne  https://t.co/wuOSLagSaP
Neither,HTURTTRUTH
Neither,Roseanne' Canceled at ABC Following Racist Tweet https://t.co/UsMiMQixgh
Neither,@ReutersBiz I would offer that Disney stock is under pressure today given the poor weekend box office results for t... https://t.co/MFmDASRRSI
Pro-Roseanne,@gatewaypundit We stand by @therealroseanne
Pro-Roseanne,BoycottABC
Neither,Roseanne
Neither,@hankgreen @therealroseanne  https://t.co/jCrehOT5t4
Anti-Roseanne,@therealroseanne Fuck you and your apology.
Neither,@hankgreen @therealroseanne ahhhh ... conspiracy theories ... when red says child trafficking rings on blue side ..... https://t.co/q6RzyznfIJ
Neither,kneel
Neither,NetDE
Anti-Roseanne,@TwitterMoments I actually liked the show
Anti-Roseanne,@TheGoodGodAbove @therealroseanne Lordy
Neither,@therealroseanne Bye Felicia
Anti-Roseanne,@therealroseanne Haha
Neither,Let me make this clear Roseanne Conner and I are not related
Neither,"@THEsaragilbert And yet the show is called ""Roseanne"" not ""Sara"".  Whatever helps you sleep at night"
Pro-Roseanne,@therealroseanne Hang In https://t.co/7TqlT7Rhbt
Anti-Roseanne,GREETINGS PEOPLE OF 1991 I AM FROM THE FUTURE. IN MY TIMELINE DONALD TRUMP IS PRESIDENT
Pro-Roseanne,@therealroseanne We accept your apology. And your show is hilarious we love it! Keep up the good work!
Anti-Roseanne,Shut them racist down. https://t.co/CWfk7iBnvr
Pro-Roseanne,BoycottABC
Neither,Roseanne
Anti-Roseanne,Finally some karma for one of trumps racist base After Racist Tweet by Roseanne Barr
Neither,sarcasm
Pro-Roseanne,DONT U DARE LEAVE - FIGHT BACK - THEIR AFRAID CUZ U SPREAD TRUTH - SCREW THEM - SCREW ABC CBS NBC   START UR OWN EN... https://t.co/YxcJ1ZzJaR
Neither,@TheTweetOfGod @realDonaldTrump @therealroseanne I only masturbate to the sexy parts of the Bible.  That's already sin-free
Neither,Roseanne' Canceled at ABC Following Racist Tweet 'Roseanne's Twitter statement is abhorrent
Neither,ABC cancels 'Roseanne' after show's star compared Obama adviser to 'ape' https://t.co/rIpLxmYNCV
Anti-Roseanne,Roseanne
Anti-Roseanne,So twitter just got Roseanne up out the paint at @DisneyABCTV She'll sliver her way over to @FOXTV by dinner tonight...
Neither,RoseanneBarr
Neither,Roseanne
Neither,@PaulSorrentino3 @GABkicksass @JimJlr2 @EdKrassen @therealroseanne From what?  What was not protected today with Roseanne?
Pro-Roseanne,Damn it
Pro-Roseanne,@ChrisParry @ColinKaepernick @therealroseanne If you don't like it don't watch her It should have the same result
Anti-Roseanne,Roseanne Barr has a disturbing history of calling black women 'apes'.'  https://t.co/k2scrTW7Qn https://t.co/pTOxbCFzex
Anti-Roseanne,@therealroseanne Hey Roseanne! You're fired!!!
Anti-Roseanne,Dear @therealroseanne  - Karma is a bitch.
Anti-Roseanne,To be clear
Pro-Roseanne,@MAGATrumpGirl @ABC @therealroseanne Kick ABC outta the ring of broadcasting. https://t.co/yremLv6KUn
Anti-Roseanne,@Amy_Siskind .@RealAlexJones just defended Roseanne
Pro-Roseanne,@therealroseanne We love you and are praying your show gets picked up on another channel.
Anti-Roseanne,@grepet52 @irritatedwoman @ABCNetwork @therealroseanne Roseanne's 'message' is full of conspiracy theories and raci... https://t.co/uYnAnbId5t
Anti-Roseanne,@therealroseanne @ABCNetwork Good Job ABC! dont give Roseanne the power she once had!!
Neither,ABC cancels 'Roseanne' after show's star compared Obama adviser to 'ape' https://t.co/sIx6mRRuCo via @nbcnews
Neither,@TheTweetOfGod @realDonaldTrump @therealroseanne 47 minutes have https://t.co/KFlchL6BhP were wrong faggot
Neither,WithTheQuickness
Anti-Roseanne,@DavidWCrabtree @Lyricoldrap You are out of your mind if u think it will be picked up by anyone. U think cbs  is go... https://t.co/XU9SzHnSwy
Pro-Roseanne,@DarbaDee @soonerrick @Lani6400 @therealroseanne I bet you said the same to all the liberals that had 'joked' about... https://t.co/siKCT3soHf
Anti-Roseanne,Roseanne Hateful
Anti-Roseanne,@therealroseanne Of course you are. Punk as racist bitch. May your pillow feel like it's filled with hot lava rocks... https://t.co/q5ocqyUrEf
Anti-Roseanne,I see Roseanne Barr has just had her Ron Atkinson moment.  Remember him?
Neither,@trjedrey @BrianNewell3 @redsteeze Free market? Free market would be you choosing not to watch. This is deeper than... https://t.co/XleXySXOht
Neither,@josephmcclung81 @archie34 @logantweeting @FoxNews @therealroseanne Bottom line is any organizations in the public... https://t.co/uDzgoftepL
Pro-Roseanne,@JosephWinfield @therealroseanne The left calls names and slings mud everyday
Neither,@FatKidDeals @therealroseanne Whoever runs this account wastes no time... And needs a raise https://t.co/fTEUXMwxNJ
Pro-Roseanne,@stealthygeek @dal33t79 @therealroseanne Wow
Neither,@r0wdy_ @Yair_Rosenberg @Bencjacobs @bariweiss Hmmm....where did he say that? And on what logic does Roseanne's app... https://t.co/mGUF6fOPpU
Pro-Roseanne,IStandWithRoseanne
Neither,@Pria_Amin @Deb89062580 @therealroseanne sonare you
Pro-Roseanne,BETTER WAKE UP PEOPLE! WHAT IS HAPPENING TO @therealroseanne IS SO WRONG! THE LEFT CAN SAY AND CALL OUR PRESIDENT A... https://t.co/KUmmgaDZI2
Neither,Roseanne Cancelled: ABC Scraps Season 11 Following Roseanne Barr's Racist Twitter Tirade https://t.co/f8I5JrSKlG
Neither,@TheTruthParadox @therealroseanne The left don't got nothing to do with this
Pro-Roseanne,@therealroseanne Don't worry about anything.  Of course you're forgiven. The world needs more LOVE now. It's just t... https://t.co/lUv7mGOOLF
Neither,@therealroseanne @KFILE Oh. Humor. Ha ha.
Neither,@ingramShyla @ABCNetwork @therealroseanne Same here! It's amazing
Pro-Roseanne,@therealroseanne could have sneezed on the wrong car and been fired by @ABC cause she is pro Trump
Anti-Roseanne,@ClayTravis @KeithOlbermann @realDonaldTrump @espn @therealroseanne He spit facts.... ya girl spit racist nonsense.... https://t.co/JiJtsIfkOx
Neither,@pulp___ @therealroseanne  https://t.co/qFUDXBMBdx
Anti-Roseanne,@aishatyler @THEsaragilbert She linked arms &amp; made common cause with a vile hateful racist. When you lie down with... https://t.co/rUO1MpX0yp
Anti-Roseanne,@therealroseanne You are absolutely disgusting! You pride yourself being a 'true American' when you are really the... https://t.co/shvnnP4xtR
Neither,RoseanneBarr
Pro-Roseanne,JUST IN: Roseanne's Show cancelled by ABC
Anti-Roseanne,I'm glad ABC didn't try to explain or in any way minimize Roseanne's remarks. They acted quickly &amp; fired her.  Mayb... https://t.co/7nNPEXTSQ6
Anti-Roseanne,Deplorables sickened over Roseanne cancellation. Will now return to watching '10
Pro-Roseanne,I'll take a knee for you @therealroseanne                  you deserve your freedom of speech! This country is ridiculous! A pe... https://t.co/HRcN7r0f1e
Neither,@l_design3 @jefferyclark @FoxNews @JessicaTarlov @therealroseanne @michelleisawolf Yeah pretending to behead someon... https://t.co/TAZcD5L1Mx
Pro-Roseanne,@kimUSAStrong @therealroseanne Stand up for Roseanne
Anti-Roseanne,BTW I guess she's a liar in addition to being a... https://t.co/uvvoWlZEQ4
Anti-Roseanne,@therealroseanne I  think you're sorry you got called out on it. Just my opinion though.
Pro-Roseanne,@CBSThisMorning @RoseanneOnABC @therealroseanne Yet @amjoyshow is still on the air after racist and homophobic remarks.
Neither,Good lord. @therealroseanne https://t.co/HhPekacizY
Neither,Here's what Roseanne tweeted https://t.co/JbcBaeIugX
Anti-Roseanne,@TheRickWilson Roseanne's comments disrespect America + betray an understanding of our VALUES. Her words are MUCH M... https://t.co/ej4Kb8V1AD
Anti-Roseanne,How long until @POTUS comes to the defense of another one of his bigoted &amp; racist supporters in Roseanne Barr?
Anti-Roseanne,Thanks a lot ABC for cancelling Roseanne ugh and Roseanne Barr think before you post!!
Neither,Petition | Stop the people of Vietnam from roasting cats alive for breakfast - sign now! https://t.co/AdRp8J7mM3... https://t.co/UNxp7YgdgC
Neither,Roseanne
Neither,FamilyMatters
Anti-Roseanne,I can add roseanne to the list of awful people I won't have any sadness for when they die
Anti-Roseanne,@digital_snypr @therealroseanne Cool
Neither,Roseanne
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Neither,SocialMedia
Anti-Roseanne,@therealroseanne Total Asshat Selfish move.  Way to cost all these other people and all the 'workers' jobs.  Making... https://t.co/gvkcDdnDoR
Anti-Roseanne,@therealroseanne And you're off tv too
Neither,@kkhhughes @therealroseanne I dare you to say that shit to my face
Neither,@CatcheNameHere @ChelseaClinton @therealroseanne  https://t.co/QYxnezDCV6
Pro-Roseanne,@ReneePostula @therealroseanne She can say whatever she wants. And ABC can hire whoever they want.
Neither,I'm off Twitter for a couple hours and look what happens -Syndergaard goes on DL with a finger injury?  -Mustafa He... https://t.co/zqOrHaMbwq
Anti-Roseanne,@therealroseanne Bye bye.                                 And good riddance.
Pro-Roseanne,@therealroseanne Sue the Hell out of them for contractual cancellation! Make um pay big time!
Neither,@DonnaWR8 @USAHotLips @ABC @therealroseanne @ArizonaKayte @carrieksada_ @KatTheHammer1 @kwilli1046 @RuthieRedSox... https://t.co/BPCAo1PyTJ
Anti-Roseanne,.@therealroseanne The 'bigger' they are -- the harder they fall.   Couldn't happen to a 'nicer' person... https://t.co/yoiI5WNyds
Pro-Roseanne,@BoSnerdley We stand with Roseanne...come back Roseanne
Neither,@therealroseanne  https://t.co/lPygU3c4pd
Anti-Roseanne,@ThomasWictor @therealroseanne How do ya like them apples
Neither,@POTUS_Don45 @Melissa89431446 @therealroseanne Really Trump
Neither,@fIatcat65 @ABC @therealroseanne they don't care about ratings. These networks are all part of HUGE conglomerates a... https://t.co/RnlOHw3CJS
Neither,@Nalnjz @therealroseanne Trump should be out of the white house by now if that was true
Neither,@therealroseanne @DonaldJTrumpJr @ChelseaClinton @OpenSociety This has been proven false
Neither,Lol Roseanne
Neither,@7Lambchops @billyeichner 'Roseanne's Family'
Neither,ABC cancels 'Roseanne' after Roseanne Barr unleashed Twitter tirade against Valerie Jarrett https://t.co/We68c6eO2L... https://t.co/JiyvDRknec
Neither,FoxNews
Pro-Roseanne,@therealroseanne I'm sorry that your getting punished for your Wright of free speach. You can't have a word come ou... https://t.co/wSc2uBrFWc
Pro-Roseanne,@therealroseanne keep producing your show &amp; charge a pay per view for each episode- we will all support you. No tel... https://t.co/HVhwH0S7Rf
Pro-Roseanne,@therealroseanne @ABC screw you! What happened to free speech. Hope your overall rating fall into the toilet.
Anti-Roseanne,And a reminder the correct headline for today should have read 'Roseanne Compares Black Obama Official to Ape
Anti-Roseanne,@ABCNetwork @therealroseanne joke was incredibility wrong
Neither,@marthamaccallum @therealroseanne @RealCandaceO If it is career ending
Pro-Roseanne,@michaeljknowles @chadfelixg Just another excuse...Hollywood can call  Trump every rude&amp;crude word in the world but... https://t.co/i0UVw0mais
Neither,@ABC Valerie existed without Valerie (okay name change)
Neither,@EricHaywood I used to work at a pizza place
Anti-Roseanne,@therealroseanne How it taste now!!!! LMAO
Neither,Roseanne
Anti-Roseanne,She just couldn't keep her fat racist mouth shut for the good of the show
Pro-Roseanne,I hope they got paid well form the first season.  Lesson learned- call someone a Nazi y... https://t.co/Zo1KaL05zG
Anti-Roseanne,@EnahMacKenneth @therealroseanne @sanitycheck99 Bye Roseanne!  LOL!
Neither,Roseanne
Anti-Roseanne,@therealroseanne Bye bitch.
Pro-Roseanne,@therealroseanne I know you to be a good person Roseanne and I can tell you are not a racist.  Just a joke gone wro... https://t.co/jNbij7b9Dh
Neither,ABC cancels 'Roseanne' after racist Twitter tirade https://t.co/Zf38Ef4eQ6 https://t.co/IlbIwUkHKD
Neither,Roseanne Canceled by ABC https://t.co/sXMOO1STGY
Pro-Roseanne,@therealroseanne Man fuck these sensitive people I get racism is a problem in this country but your a comedian why... https://t.co/t9o4R8kQIC
Pro-Roseanne,I'll go Roseanne one better. Valerie Jarret is living proof that buffalo are making a come back.
Anti-Roseanne,@therealroseanne FUCK OFF
Pro-Roseanne,@therealroseanne Noooooo. You were changing the way people thought! That's what alternate Twitter accounts are for. I'm so sad now.
Neither,@andy_oconnor Damn
Neither,@iamwandasykes @RoseanneOnABC Good for you SMH..
Neither,@mafia2222001 @Milliron681 @andygh26 @soonerrick @debralynnsmith3 @therealroseanne  https://t.co/QP9f2y9v1c
Pro-Roseanne,The thought and speech police is out in full force at @ABCNetwork -- disgusted for them capitulating to left-wing b... https://t.co/YuTSPNCOTn
Neither,@LynCazabon @TheTweetOfGod @realDonaldTrump @therealroseanne 'obviously' and 'misunderstood' are beyond 45's vocabulary abilities.  LOL
Neither,JoyReid
Pro-Roseanne,@TC_resistance @therealroseanne She told a joke. Get a grip.
Anti-Roseanne,@therealroseanne Roseanne. Fuck you. You're way too old to not know that what you were saying was wrong and racists... https://t.co/BMf6BLKm0n
Neither,Roseanne    cancelada pela ABC ap  s tweet racista de sua protagonista
Neither,roseanne on the phone with ABC https://t.co/7M5aEGjGHL
Pro-Roseanne,Valery Jarrett is an ape. @therealroseanne  should never have apologized because we are all apes.   https://t.co/NY0NLzhFGK
Anti-Roseanne,Racists are only sorry when it affects their cash flow. I'm glad ABC cancelled Roseanne.
Neither,ROSEANNE-&gt; Grand Opening... Grand Closing
Anti-Roseanne,@FoxNews Hey
Neither,"@TheTweetOfGod @realDonaldTrump @therealroseanne Trump- ""Roseanne is great and very good in everything she does. I... https://t.co/d2O67VHbfs"
Neither,ROSEANNE
Anti-Roseanne,Now go back and crawl back under the rock you hid under for the past 20 years. No need for your racist views in tod... https://t.co/yaitraNcPI
Anti-Roseanne,@TT45Pac @therealroseanne Fu@k you &amp; Rosanne! Cave dwelling bitches!
Pro-Roseanne,@MarkDice @therealroseanne Absolute complete hypocrisy. Ffs
Neither,ABC cancels 'Roseanne' after star's racist Twitter rant https://t.co/LqrVvA7hnr via @CNNMoney
Anti-Roseanne,@HeerJeet Roseanne and Trump in many ways represent all that is wrong.
Pro-Roseanne,FreeSpeech
Neither,Roseanne' Canceled by ABC After Roseanne Barr's 'Repugnant' Comments
Neither,Roseanne
Anti-Roseanne,@andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne No that is a lie. She is dumber than Trump.
Neither,@Coconutoil_papi @vajenson @mjfree @therealroseanne @realDonaldTrump Lol seriously why is reading/writing/comprehen... https://t.co/Bluur0LOon
Anti-Roseanne,Also
Anti-Roseanne,@MollyJongFast @seanhannity What are the odds that Faux News Channel will pick up Roseanne's show and air it withou... https://t.co/SFaQBiBQQk
Neither,@KariLakeFox10 @therealroseanne  https://t.co/CQKhOgt9Xw
Pro-Roseanne,All of the people crying about the NFL protest ban are now happy that ABC cancelled Roseanne.
Neither,Dan
Anti-Roseanne,@KathyMBI @therealroseanne Get your face out of the mirror
Pro-Roseanne,snowflake
Neither,Here is Van Jones @VanJones68 of CNN calling the Trump election a 'whitelash'.  As if white people hate black peopl... https://t.co/Ce3ZX90Tr2
Neither,@therealroseanne Please don't.
Pro-Roseanne,You Rock Roseanne Barr!!! https://t.co/uxZOBtZFdF
Pro-Roseanne,ABC cancels @therealroseanne because she pushed too many Liberals' sanctimonious PC buttons. Roseanne anti-Semitic?... https://t.co/FUluL4tfY8
Pro-Roseanne,@TheRealHublife @ABCNetwork Did you know that angry black Libtard Wanda Sykes was a producer of Roseanne? Makes you... https://t.co/yptY8y9DHf
Anti-Roseanne,@kylegriffin1 No Roseanne you aren't forgiven.
Neither,Rosanne
Anti-Roseanne,@therealroseanne -ABC did the right thing.  Holloywood need to rise up and say  we are not going to be complicit in... https://t.co/rep0BJNMLf
Anti-Roseanne,@therealroseanne You sure screwed over DJ and Becky. They finally had an acting gig and you fucked it up with your dumbassery.
Neither,@therealroseanne  https://t.co/71mjqKJWuz
Anti-Roseanne,@therealroseanne Mel Gibson is waiting on your call.
Neither,5 Things to Know about Black ABC President Channing Dungey who cancelled 'Roseanne' after her racist rant... https://t.co/xPT4la6I1L
Neither,@holachola @the_anne_tie @therealroseanne @ChelseaClinton @OpenSociety All those dead kids? I don't know about a te... https://t.co/yYGPdAHjnt
Neither,@soonerrick @debralynnsmith3 @therealroseanne  https://t.co/TwTCRipWuS
Anti-Roseanne,Thank you @ABCNetwork for showing there are strong consequences for bullying. That this behavior is absolutely into... https://t.co/O80D5TurmE
Pro-Roseanne,@SShoemaker24 No you suck. Roseanne is a great show.
